Hot Spots - Method;Self time [%];Self time ms;Invocations
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();64.74492;19789.637;381
nl.uva.vlet.vfs.test.testVFS.setUp();12.8643675;3932.064;61
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();3.8124235;1165.288;33
nl.uva.vlet.vfs.test.testBlobStore.suite();3.7679877;1151.706;1
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);3.5493429;1084.876;133
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);1.6181194;494.587;101
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();1.3788958;421.467;33
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();0.8355945;255.404;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);0.8202373;250.71;112
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();0.79974365;244.446;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);0.7924282;242.21;11
nl.uva.vlet.vfs.test.testVFS.testStreamRead();0.78080726;238.658;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.6036372;184.505;54
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);0.59446347;181.701;14
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.45265675;138.357;55
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.27994266;85.566;670
nl.uva.vlet.vfs.test.VTestCase.verbose(int, String);0.2224171;67.983;193
nl.uva.vlet.vfs.test.testVFS.testX3rdPartyTransfer(nl.uva.vlet.vrl.VRL, nl.uva.vlet.vrl.VRL, String, String, boolean);0.21341023;65.23;3
nl.uva.vlet.vfs.cloud.CloudFSFactory.createNewFileSystem(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);0.19772917;60.437;1
nl.uva.vlet.vfs.test.testVFS.testVFSNodeAttributes(nl.uva.vlet.vfs.VFSNode);0.17943734;54.846;2
nl.uva.vlet.vfs.cloud.CloudFileSystem.getContainerAndPath(nl.uva.vlet.vrl.VRL);0.1648163;50.377;413
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.15966672;48.803;36
nl.uva.vlet.vfs.test.testBlobStore.main(String[]);0.11815919;36.116;1
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsNewFile();0.10549133;32.244;1
nl.uva.vlet.vfs.test.testVFS.getServerInfo();0.09482245;28.983;1
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsExistingFile();0.0938017;28.671;1
nl.uva.vlet.vfs.test.testVFS.testReadWriteBytes();0.060980428;18.639;1
nl.uva.vlet.vfs.test.VTestCase.<init>();0.053946365;16.489;61
nl.uva.vlet.vfs.test.testVFS.testCopyDirToRemote();0.05356685;16.373;1
nl.uva.vlet.vfs.test.testVFS.testExists();0.049078137;15.001;1
nl.uva.vlet.vfs.test.testVFS.<init>();0.041494433;12.683;61
nl.uva.vlet.vfs.test.testVFS.testCreateAndDeleteRecursiveDir();0.03909631;11.95;1
nl.uva.vlet.vfs.test.testVFS.testPrintInfo();0.036564045;11.176;1
nl.uva.vlet.vfs.test.testVFS.testListDirFiltered();0.03485624;10.654;1
nl.uva.vlet.vfs.test.testBlobStore.<clinit>;0.030632531;9.363;1
nl.uva.vlet.vfs.test.testVFS.testTildeExpansion();0.02654623;8.114;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getPath(nl.uva.vlet.vrl.VRL);0.02425607;7.414;64
