Hot Spots - Method;Self time [%];Self time ms;Invocations
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();65.468056;19364.806;381
nl.uva.vlet.vfs.test.testVFS.setUp();10.307379;3048.821;61
nl.uva.vlet.vfs.test.testBlobStore.suite();4.3825226;1296.307;1
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);3.4190795;1011.33;133
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();3.2775838;969.477;33
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);1.7957461;531.164;101
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();1.5138673;447.787;33
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();1.1418602;337.751;1
nl.uva.vlet.vfs.test.testBlobStore.main(String[]);0.86552244;256.013;1
nl.uva.vlet.vfs.test.testVFS.testStreamRead();0.834372;246.799;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);0.8030153;237.524;11
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);0.6705227;198.334;112
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.64242506;190.023;55
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);0.63479805;187.767;14
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();0.6291082;186.084;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.50627446;149.751;36
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.49624372;146.784;54
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.31211993;92.322;670
nl.uva.vlet.vfs.test.testVFS.testVFSNodeAttributes(nl.uva.vlet.vfs.VFSNode);0.25656366;75.889;2
nl.uva.vlet.vfs.test.VTestCase.verbose(int, String);0.21832709;64.579;193
nl.uva.vlet.vfs.cloud.CloudFSFactory.createNewFileSystem(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);0.17304498;51.185;1
nl.uva.vlet.vfs.test.testVFS.testListDirFiltered();0.15298346;45.251;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getContainerAndPath(nl.uva.vlet.vrl.VRL);0.14885554;44.03;413
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsExistingFile();0.13983901;41.363;1
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsNewFile();0.12196147;36.075;1
nl.uva.vlet.vfs.test.testVFS.testX3rdPartyTransfer(nl.uva.vlet.vrl.VRL, nl.uva.vlet.vrl.VRL, String, String, boolean);0.11333035;33.522;3
nl.uva.vlet.vfs.cloud.CloudOutputStream.<init>(String, String, String, java.util.Properties);0.11110242;32.863;33
nl.uva.vlet.vfs.test.testVFS.testCopyEmptyDir();0.10837413;32.056;1
nl.uva.vlet.vfs.test.testVFS.testReadWriteBytes();0.08308593;24.576;1
nl.uva.vlet.vfs.test.testVFS.testAlias();0.08095267;23.945;1
nl.uva.vlet.vfs.test.VTestCase.<init>();0.07056354;20.872;61
nl.uva.vlet.vfs.test.testVFS.testVCommentable();0.06975216;20.632;1
nl.uva.vlet.vfs.test.testVFS.testCopyDirToRemote();0.049061812;14.512;1
nl.uva.vlet.vfs.test.testVFS.testPrintInfo();0.041069657;12.148;1
nl.uva.vlet.vfs.test.testBlobStore.<clinit>;0.03523444;10.422;1
nl.uva.vlet.vfs.test.testVFS.getServerInfo();0.032076795;9.488;1
nl.uva.vlet.vfs.test.testVFS.testTildeExpansion();0.02655261;7.854;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getPath(nl.uva.vlet.vrl.VRL);0.025832504;7.641;64
nl.uva.vlet.vfs.test.testVFS.testCreateDirPermissionDenied();0.02245849;6.643;1
nl.uva.vlet.vfs.test.testVFS.testCreateAndDeleteFullDir();0.02058216;6.088;1
nl.uva.vlet.vfs.test.testVFS.testExists();0.014091072;4.168;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.debug(String);0.01343182;3.973;3
nl.uva.vlet.vfs.test.testVFS.testVChecksum();0.010155849;3.004;1
nl.uva.vlet.vfs.test.testVFS.testCopyMoveToRemote(boolean);0.009053716;2.678;2
nl.uva.vlet.vfs.test.testVFS.testCopyMoveToLocal(boolean);0.009030051;2.671;2
nl.uva.vlet.vfs.cloud.CloudFileSystem.newDir(nl.uva.vlet.vrl.VRL);0.008201761;2.426;110
nl.uva.vlet.vfs.test.TestSettings.<init>();0.008049626;2.381;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.newFile(nl.uva.vlet.vrl.VRL);0.0076473136;2.262;95
nl.uva.vlet.vfs.cloud.CloudOutputStream.close();0.0065654656;1.942;33
nl.uva.vlet.vfs.test.testVFS.testCreateAndDeleteRecursiveDir();0.0063017653;1.864;1
nl.uva.vlet.vfs.cloud.CloudDir.exists();0.005206394;1.54;76
nl.uva.vlet.vfs.cloud.CloudFileSystem.removePrefix(String);0.005162444;1.527;477
nl.uva.vlet.vfs.test.TestSettings.<clinit>;0.005054259;1.495;1
nl.uva.vlet.vfs.test.testVFS.testVRandomReader();0.0049595973;1.467;1
nl.uva.vlet.vfs.test.testVFS.testRandomReadable();0.004952836;1.465;1
nl.uva.vlet.vfs.test.testVFS.<init>();0.004607997;1.363;61
nl.uva.vlet.vfs.test.testVFS.testListDirIterator();0.004540381;1.343;1
nl.uva.vlet.vfs.cloud.CloudFSFactory.getSchemeNames();0.004242873;1.255;2
nl.uva.vlet.vfs.cloud.CloudFileSystem.block(com.google.common.util.concurrent.ListenableFuture);0.0040535494;1.199;244
