Hot Spots - Method;Self time [%];Self time;Invocations
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();40.9874;19262.985;380
nl.uva.vlet.vfs.test.testVFS.setUp();36.311016;17065.21;61
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);10.761368;5057.556;133
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();2.2054846;1036.519;33
nl.uva.vlet.vfs.test.testBlobStore.suite();1.3124659;616.824;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);1.0930599;513.709;101
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();0.96605265;454.019;33
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();0.7506702;352.795;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);0.55160576;259.24;11
nl.uva.vlet.vfs.test.testVFS.testPrintInfo();0.5336239;250.789;1
nl.uva.vlet.vfs.test.testVFS.testTildeExpansion();0.523585;246.071;1
nl.uva.vlet.vfs.test.testVFS.getServerInfo();0.5166442;242.809;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.4054315;190.542;54
nl.uva.vlet.vfs.test.testVFS.testStreamRead();0.40058017;188.262;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);0.39321166;184.799;14
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);0.32597166;153.198;111
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();0.30753872;144.535;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.24844813;116.764;55
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.18654674;87.672;670
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.13847381;65.079;36
