Hot Spots - Method;Self time [%];Self time ms;Invocations
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();24.398792;3798.219;33
nl.uva.vlet.vfs.test.testVFS.setUp();19.80807;3083.57;61
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();13.366947;2080.865;375
nl.uva.vlet.vfs.test.testBlobStore.suite();12.315778;1917.227;1
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);6.947017;1081.459;133
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);3.3418958;520.241;102
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();2.7251263;424.227;33
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);2.0349333;316.783;11
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();2.01105;313.065;1
nl.uva.vlet.vfs.test.testVFS.testStreamRead();1.4241315;221.698;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);1.2939222;201.428;109
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);1.1868705;184.763;14
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();1.1055715;172.107;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.7867739;122.479;53
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.7725389;120.263;670
nl.uva.vlet.vfs.cloud.CloudFSFactory.createNewFileSystem(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);0.7246563;112.809;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.5819271;90.59;35
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.56442237;87.865;53
nl.uva.vlet.vfs.test.testVFS.testVFSNodeAttributes(nl.uva.vlet.vfs.VFSNode);0.5398323;84.037;2
