Hot Spots - Method;Self time [%];Self time;Invocations
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();26.087234;3697.485;33
nl.uva.vlet.vfs.test.testVFS.setUp();23.774757;3369.725;61
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();12.903064;1828.821;380
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);9.675105;1371.305;133
nl.uva.vlet.vfs.test.testBlobStore.suite();3.6965427;523.931;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);3.6313791;514.695;101
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();3.018914;427.887;33
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();2.087707;295.902;1
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();1.9130223;271.143;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);1.7887132;253.524;11
nl.uva.vlet.vfs.test.testVFS.testStreamRead();1.4829603;210.188;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);1.3097644;185.64;14
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);1.2515997;177.396;112
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.7152341;101.374;54
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.6557712;92.946;55
nl.uva.vlet.vfs.test.VTestCase.verbose(int, String);0.6520389;92.417;193
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.6183564;87.643;670
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsExistingFile();0.46381494;65.739;1
nl.uva.vlet.vfs.test.testBlobStore.main(String[]);0.34065586;48.283;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.31927097;45.252;36
nl.uva.vlet.vfs.test.testVFS.testX3rdPartyTransfer(nl.uva.vlet.vrl.VRL, nl.uva.vlet.vrl.VRL, String, String, boolean);0.3152776;44.686;3
nl.uva.vlet.vfs.test.VTestCase.<init>();0.30420062;43.116;61
